screen_name,profile_image_url,location,created_time,text
河岸上的局外人,"https://tvax2.sinaimg.cn/crop.0.0.664.664.50/47fc0aedly8gner1xgs9rj20ig0igjsk.jpg?KID=imgbed,tva&Expires=1718269872&ssig=LqUd%2F74bNR",陕西 延安,Thu Jun 13 13:14:17  2024,默克尔配奥巴马[摊手]
用户7920551576,"https://tvax1.sinaimg.cn/default/images/default_avatar_female_50.gif?KID=imgbed,tva&Expires=1718269872&ssig=8SRloW4QAc",河南 郑州,Thu Jun 13 12:57:26  2024,欧盟起初对乌克兰的态度消极全源于当年莫圣母的功劳！德国终究难去除他们的极左基因
WitnessFudan2023,"https://tvax4.sinaimg.cn/crop.0.0.870.870.50/008xqn2tly8hbh2n76gfxj30o60o6js5.jpg?KID=imgbed,tva&Expires=1718269872&ssig=tOd83D6hK8",其他,Thu Jun 13 12:53:22  2024,默克尔典型的唯利是图，圣母情怀加持，贻害无穷
Weikey001,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/008DWfjKly8hpsacobmdij30e80e8dhh.jpg?KID=imgbed,tva&Expires=1718269872&ssig=RRPK7swK94",其他,Thu Jun 13 12:49:57  2024,这次结算会至少影响世界主要大国未来三五十年乃至一百年的命运[good]
keyness,"https://tva2.sinaimg.cn/crop.0.0.640.640.50/649102adjw8ega5y6w9cyj20hs0hs75i.jpg?KID=imgbed,tva&Expires=1718269872&ssig=Q9d42M%2Fc%2FD",其他,Thu Jun 13 12:49:51  2024,就是间谍还什么圣母[doge]
如入火聚,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/6afebb44ly8gsstv0u9e7j20u00u0n1z.jpg?KID=imgbed,tva&Expires=1718269872&ssig=aGmMScPSNj",山东,Thu Jun 13 12:48:18  2024,欲其灭亡，先令其疯狂。舍不得克里米亚套不住大帝。默克尔说不定在下一盘大棋呢[允悲] 最重要的是，这回千万一定要收紧绞索，不弄死那🐶日的不松绳子
包汤双全,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/547df528ly8hnmsjd3to5j20u00u1dkx.jpg?KID=imgbed,tva&Expires=1718269872&ssig=4t6YM6%2Bt56",云南 昆明,Thu Jun 13 12:43:25  2024,慕尼黑协定
邵宛誉的视窗,"https://tvax3.sinaimg.cn/crop.0.0.600.600.50/008npy0cly8gtm2auqeg4j30go0goaam.jpg?KID=imgbed,tva&Expires=1718269872&ssig=Q47WHwbAYs",上海,Thu Jun 13 12:43:08  2024,是的！每一次绥靖都意味着更大的代价，但人类可能永远做不到关键时刻做出最正确的选择，也总是会有默克尔这样怀有圣母之心的人来追求更高尚的目标，对野蛮采取不对等的文明方式来对应。希望可以有更多的人看清绥靖的危害和野蛮的真相，选出最正确的人来代表他们。
梁打滚,"https://tva2.sinaimg.cn/crop.0.0.180.180.50/5fd554acjw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1718269872&ssig=O3v%2FAylglv",四川,Thu Jun 13 12:41:35  2024,看看
用户7790956974,"https://tvax1.sinaimg.cn/default/images/default_avatar_female_50.gif?KID=imgbed,tva&Expires=1718269872&ssig=8SRloW4QAc",其他,Thu Jun 13 12:39:22  2024,默克尔只是想好好的过日子
陆晨阳,"https://tva1.sinaimg.cn/crop.0.0.180.180.50/62847d7bjw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1718269872&ssig=CrmqCpwoif",浙江 杭州,Thu Jun 13 12:35:17  2024,约翰逊一句群体免疫就已经是伟大政治家
微信名云卷云舒,"https://tvax2.sinaimg.cn/crop.0.0.640.640.50/007LmVGtly8hngcudn7hkj30hs0hsjs0.jpg?KID=imgbed,tva&Expires=1718269872&ssig=r4Dz3fU1vJ",山东 济南,Thu Jun 13 12:26:35  2024,类似默克尔这样的人，虽然善良却总是有后遗症，关键是对邪恶认识不足。
codingmonkey15516,"https://tvax2.sinaimg.cn/crop.0.0.819.819.50/008Bx0XOly8hl8sunjvrdj30mr0mrdgb.jpg?KID=imgbed,tva&Expires=1718269872&ssig=3t0rRaKp2%2B",广东 深圳,Thu Jun 13 12:20:33  2024,本周，泽圣又丢了4个定居点[允悲]
杠疯了5,"https://tvax4.sinaimg.cn/crop.0.0.512.512.50/008AHgRLly8hhx91ax2cuj30e80e8ab7.jpg?KID=imgbed,tva&Expires=1718269872&ssig=y85MluCunE",上海,Thu Jun 13 12:19:05  2024,害欧洲不浅
紫薇廊,"https://tvax3.sinaimg.cn/crop.0.0.1006.1006.50/008nu0luly8gy7j0u46dfj30ry0ryk1e.jpg?KID=imgbed,tva&Expires=1718269874&ssig=OZUxX9VKMF",其他,Thu Jun 13 12:19:04  2024,默克而好像是前苏派到德国的卧底[嘻嘻]
成都柏桦,"https://tva2.sinaimg.cn/crop.585.244.1137.1137.50/90372cc3jw8f3sputap6kj21kw16o1dq.jpg?KID=imgbed,tva&Expires=1718269874&ssig=fbEQpSINJ3",四川 成都,Thu Jun 13 12:18:01  2024,英国几乎不犯错。历史上每一次最后的重大关头，英格兰的决定和选择都正确。反观美国，在这一点上，不如英国。
藕片的记忆,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/005E5W3oly8hq3wu7xku6j30u00u0wsa.jpg?KID=imgbed,tva&Expires=1718269874&ssig=1Vnt2EUVb3",其他,Thu Jun 13 12:10:17  2024,赞同你的观点，但那个时候，俄罗斯确实很强大，是两强争霸。其实这个协议其实对俄罗斯的伤害不小，之后它就变成加油站了！这个西方可以看是给欧洲很多缓冲时间。
暮光之城明月雄关,"https://tvax2.sinaimg.cn/crop.0.0.512.512.50/9d77910ely8g7boo6n6muj20e80e8758.jpg?KID=imgbed,tva&Expires=1718269875&ssig=h0JglKojMy",上海 黄浦区,Thu Jun 13 14:05:31  2024,非常准确
伟根240693,"https://tvax1.sinaimg.cn/default/images/default_avatar_male_50.gif?KID=imgbed,tva&Expires=1718269875&ssig=0Wap9brQ3S",其他,Thu Jun 13 14:05:02  2024,[good]有道理
与非TYF,"https://tvax1.sinaimg.cn/default/images/default_avatar_male_50.gif?KID=imgbed,tva&Expires=1718269875&ssig=0Wap9brQ3S",四川,Thu Jun 13 14:01:09  2024,支持俄罗斯那是根本是维护中国国家利益，支持哈马斯根本是还有基本的人性，反之
魇之侠,"https://tvax2.sinaimg.cn/crop.0.0.996.996.50/49e03209ly8fh8vizzf2wj20ro0rodhk.jpg?KID=imgbed,tva&Expires=1718269875&ssig=wRcH5H2fN%2F",北京 朝阳区,Thu Jun 13 13:55:45  2024,确实如此
夏星繁是我养的狗,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/0088cQAply8hq8nq5lzsxj30u00u0q4k.jpg?KID=imgbed,tva&Expires=1718269875&ssig=DXKlQlt2ki",其他,Thu Jun 13 13:55:30  2024,纳粹以色列还有人支持我是真的想不到
XM-视角,"https://tva3.sinaimg.cn/crop.0.0.180.180.50/880483ffjw8e7fafnz7c8j2050050a9y.jpg?KID=imgbed,tva&Expires=1718269875&ssig=G%2BOou5auMl",福建,Thu Jun 13 13:51:20  2024,S毕，你没有内心深处基本的正义，而凭只自己喜好。你可以不喜欢乌，我也不喜欢，但反抗侵略应得到基本尊重。
Astralsss,"https://tvax1.sinaimg.cn/crop.0.0.995.995.50/008hBg9bly8hmpxsgbyilj30rn0rndgw.jpg?KID=imgbed,tva&Expires=1718269875&ssig=9KNBIQ5fQ0",其他,Thu Jun 13 13:50:49  2024,支持乌的，基本上都是野蛮人
苏堤春晓的夏日午后,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/8e7d186cly8h0jvx74gjyj20u00u0qdw.jpg?KID=imgbed,tva&Expires=1718269875&ssig=Z7JjnFPBqh",湖北 黄石,Thu Jun 13 13:50:47  2024,@美美小兔子 说你呢。好好看看
用户7654225819,"https://tvax1.sinaimg.cn/default/images/default_avatar_male_50.gif?KID=imgbed,tva&Expires=1718269875&ssig=0Wap9brQ3S",其他,Thu Jun 13 13:43:57  2024,支持鹅魔，就是在告诉鹅魔，可以去侵略中国，中国有很多黄俄爱它们，不信你看，当初抢了他们三百万，他们反而仇将恩报。抢的越多爱的越深[怒]
月照松间_,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/006UXOCZly8h4trhl4tdhj30u00u1tbe.jpg?KID=imgbed,tva&Expires=1718269875&ssig=sW1VWNdpPA",其他,Thu Jun 13 13:35:29  2024,俄乌看立场，巴以分人畜。
窝着爸爸,"https://tva2.sinaimg.cn/crop.0.0.80.80.50/006yVid5jw8f7e973s5afj3028028q2p.jpg?KID=imgbed,tva&Expires=1718269875&ssig=PKGYRbj%2BnP",北京,Thu Jun 13 13:33:25  2024,还有一点，乌友大多数是被收拾过倒霉过没啥大本事还郁郁不得志的一群人
木公鹤,"https://tva2.sinaimg.cn/crop.44.355.444.444.50/445e7b6bjw8enn8fe9rwoj20fj0m8tcp.jpg?KID=imgbed,tva&Expires=1718269875&ssig=BbndtQlBRz",安徽 阜阳,Thu Jun 13 13:25:42  2024,深刻
黑石二少,"https://tvax2.sinaimg.cn/crop.0.0.600.600.50/0069QelUly8hk3mrce4oaj30go0goq40.jpg?KID=imgbed,tva&Expires=1718269875&ssig=VAODcUvPkM",江苏 无锡,Thu Jun 13 13:16:43  2024,他们愿意打就一直打呗，最好北约下场，俄求外援，我们可以试着把外东北收回来，俄和美西方就一直相互消耗呗，打成废墟中国来建设，有偿的哦[嘻嘻]
Jiang2806,"https://tvax2.sinaimg.cn/crop.0.0.751.751.50/0060n9xkly8gry1qbm63aj30kv0kvdhj.jpg?KID=imgbed,tva&Expires=1718269876&ssig=C7C0W%2Fp0zY",广西 南宁,Thu Jun 13 13:07:40  2024,一语道破
